SPPARKS (08 Oct 2025)
seed 12345
app_style surface/rxn
solve_style tree

dimension 2
lattice sq/4n 1.0
region box block 0 128 0 128 -0.5 0.5
create_box box
Created box = (0 0 -0.5) to (128 128 0.5)
  1 by 1 by 1 processor grid
create_sites box
Creating sites ...
  16384 sites
  16384 sites have 4 neighbors

# surface species mapping (0 = *, 1 = A*, 2 = B*)
species A 1
species B 2

# initialize lattice
set site value 0
  16384 settings made for site
set site value 1 fraction 0.25 if site = 0
  4048 settings made for site
set site value 2 fraction 0.25 if site = 0
  3148 settings made for site

# gas concentration for k1 c_A
gas A 1.0

# surface diffusion
diffusion A 0.2
diffusion B 0.2

# A* + * -> 2A*   rate = k1 * c_A
reaction A * -> A A 1.0 gas A

# A* + B* -> 2B*  rate = k2
reaction A B -> B B 1.0

# B* + * -> 2* + B(g)  rate = k3
reaction B * -> * * 0.1

stats 0.01
run 100.0
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.625 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU
   11.3402      54811          0          0       0.13
   11.3506      54838          0          0       0.13
     11.36      54873          0          0       0.13
   11.3705      54900          0          0       0.13
     11.38      54935          0          0       0.13
     11.39      54965          0          0       0.13
   11.4009      54991          0          0       0.13
     11.41      55008          0          0       0.13
     11.42      55051          0          0       0.13
   11.4305      55090          0          0       0.13
   11.4405      55122          0          0      0.131
   11.4504      55148          0          0      0.131
   11.4604      55188          0          0      0.131
   11.4701      55223          0          0      0.131
   11.4803      55251          0          0      0.131
   11.4906      55287          0          0      0.131
   11.5002      55322          0          0      0.131
   11.5105      55343          0          0      0.131
   11.5204      55382          0          0      0.131
   11.5302      55419          0          0      0.131
     11.54      55442          0          0      0.131
   11.5516      55470          0          0      0.131
   11.5612      55503          0          0      0.131
   11.5705      55524          0          0      0.131
   11.5808      55563          0          0      0.132
     11.59      55593          0          0      0.132
   11.6002      55629          0          0      0.132
   11.6101      55662          0          0      0.132
   11.6201      55694          0          0      0.132
   11.6301      55729          0          0      0.132
   11.6403      55763          0          0      0.132
   11.6502      55793          0          0      0.132
   11.6602      55821          0          0      0.132
   11.6701      55855          0          0      0.132
   11.6804      55885          0          0      0.132
   11.6901      55919          0          0      0.132
   11.7002      55947          0          0      0.132
